State,District ,Crop,Crop_Year,Season,Area ,Production,Yield
Jharkhand,RAMGARH,Potato,2013,Winter     ,1361.0,7544.0,5.54
Jammu and Kashmir,REASI,Moong(Green Gram),2015,Kharif     ,13.0,9.0,0.7
Haryana,GURGAON,Sweet potato,2009,Whole Year ,39.0,800.0,20.51
Uttar Pradesh,JALAUN,Sannhamp,2010,Kharif     ,9.0,3.0,0.33
Tamil Nadu,MADURAI,Sugarcane,2006,Whole Year ,6006.0,656204.0,109.26
Uttar Pradesh,BALLIA,Bajra,1997,Kharif     ,1717.0,1756.0,1.02
Haryana,FARIDABAD,Sugarcane,2007,Whole Year ,4820.0,290000.0,60.17
Tripura,NORTH TRIPURA,Cotton(lint),2010,Kharif     ,299.0,439.0,1.47
Rajasthan,PALI,Wheat,2013,Rabi       ,47446.0,129758.0,2.73
Andhra Pradesh,EAST GODAVARI,Dry chillies,2009,Rabi       ,290.0,1141.0,3.93
Karnataka,UDUPI,Ginger,2019,Whole Year ,1.0,11.0,10.5
Madhya Pradesh,BHIND,Sannhamp,1999,Whole Year ,24.0,44.0,1.83
Assam,DIMA HASAO,Turmeric,2008,Whole Year ,278.0,150.0,0.54
Bihar,SAMASTIPUR,Other Kharif pulses,2013,Kharif     ,4.0,3.0,0.75
Bihar,KATIHAR,Khesari,2001,Rabi       ,1257.0,596.0,0.47
Uttarakhand,PAURI GARHWAL,Other  Rabi pulses,2003,Rabi       ,1.0,,0.0
West Bengal,BIRBHUM,Horse-gram,2002,Rabi       ,118.0,60.0,0.51
Karnataka,DAVANGERE,Onion,2018,Summer     ,95.0,1003.0,10.56
Maharashtra,NAGPUR,Cotton(lint),2014,Kharif     ,111300.0,150200.0,1.35
Maharashtra,SATARA,Other  Rabi pulses,2013,Rabi       ,200.0,100.0,0.5
Bihar,ARARIA,Masoor,2001,Rabi       ,2957.0,1434.0,0.48
Odisha,SONEPUR,Potato,2011,Winter     ,17.0,129.0,7.56
Andhra Pradesh,SRIKAKULAM,Moong(Green Gram),2002,Rabi       ,22924.0,6029.0,0.26
Karnataka,MANDYA,Other  Rabi pulses,2014,Rabi       ,132.0,101.0,0.77
Bihar,GOPALGANJ,Tobacco,1998,Whole Year ,73.0,50.0,0.68
Uttar Pradesh,BULANDSHAHR,Urad,2001,Rabi       ,221.0,107.0,0.48
Uttar Pradesh,BALRAMPUR,Wheat,2007,Rabi       ,83172.0,291253.0,3.5
Uttar Pradesh,VARANASI,Sesamum,1997,Kharif     ,106.0,16.0,0.15
Andhra Pradesh,NALGONDA,Tobacco,2006,Whole Year ,87.0,137.0,1.57
Rajasthan,SIROHI,Rice,2002,Kharif     ,3.0,2.0,0.67
Madhya Pradesh,INDORE,Urad,2011,Rabi       ,1.0,,0.0
Uttar Pradesh,LALITPUR,Groundnut,2010,Kharif     ,11372.0,11508.0,1.01
Bihar,BEGUSARAI,Urad,2010,Kharif     ,941.0,821.0,0.87
Karnataka,BIDAR,Mesta,2012,Whole Year ,323.0,366.0,1.13
Chhattisgarh,GARIYABAND,Urad,2015,Rabi       ,62.0,17.0,0.27
Tamil Nadu,KANCHIPURAM,Cashewnut,2007,Whole Year ,310.0,177.0,0.57
Madhya Pradesh,HOSHANGABAD,Bajra,2018,Kharif     ,11.0,18.0,1.64
Meghalaya,EAST GARO HILLS,Soyabean,2003,Kharif     ,103.0,97.0,0.94
Uttar Pradesh,SIDDHARTH NAGAR,Onion,2014,Rabi       ,194.0,2968.0,15.3
Maharashtra,SATARA,Maize,2013,Rabi       ,11700.0,34100.0,2.91
Karnataka,TUMAKURU,Horse-gram,2005,Kharif     ,25505.0,14707.0,0.58
Uttar Pradesh,ALIGARH,Jowar,2003,Kharif     ,11.0,10.0,0.91
Karnataka,KOLAR,Coconut ,1998,Whole Year ,2101.0,10030000.0,4773.92
Karnataka,HASSAN,Groundnut,1998,Rabi       ,2319.0,2747.0,1.18
Assam,KAMRUP METRO,Banana,2006,Whole Year ,500.0,6462.0,12.92
Gujarat,NARMADA,Moong(Green Gram),2013,Kharif     ,436.0,232.0,0.53
Uttar Pradesh,MEERUT,Rapeseed &Mustard,2015,Rabi       ,6263.0,6699.0,1.07
Meghalaya,SOUTH GARO HILLS,Cotton(lint),2014,Kharif     ,203.0,258.0,1.27
Arunachal Pradesh,KAMLE,Sesamum,2018,Kharif     ,36.0,36.0,1.0
Odisha,KENDUJHAR,Urad,2006,Summer     ,19.0,8.0,0.39
Bihar,KATIHAR,Gram,2002,Rabi       ,399.0,252.0,0.63
Jharkhand,GODDA,Potato,2016,Rabi       ,933.0,12647.0,13.56
